budget_item,Безработица,Дорожные пробки,Загрязнение парков,Коррупция в ЖКХ,Низкое качество образования,Отсутствие детских садов
благоустройство,0.0,0.0,1.0,0.0,0.0,0.0
водное хозяйство,0.0,0.0,0.0,0.0,0.0,0.0
высшее образование,1.0,0.0,0.0,0.0,0.0,0.0
дорожное хозяйство,0.0,0.0,0.0,0.0,0.0,0.0
дошкольное образование,0.0,0.0,0.0,0.0,0.0,1.0
жилищное хозяйство,0.0,0.0,0.0,1.0,0.0,0.0
коммунальное хозяйство,0.0,0.0,0.0,0.0,0.0,0.0
лесное хозяйство,0.0,0.0,0.0,0.0,0.0,0.0
общее образование,0.0,0.0,0.0,0.0,1.0,0.0
связь и информатика,0.0,0.0,0.0,0.0,0.0,0.0
скорая медицинская помощь,0.0,0.0,0.0,0.0,0.0,0.0
среднее профессиональное образование,0.0,0.0,0.0,0.0,0.0,0.0
стационарная медицинская помощь,0.0,0.0,0.0,0.0,0.0,0.0
топливно-энергетический комплекс,0.0,0.0,0.0,0.0,0.0,0.0
транспорт,0.0,1.0,0.0,0.0,0.0,0.0
